input log file location, /data/local/tmp/genie_qwen25_qnn_htp_profile/qnn_profile/detailed/decode/part2/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.34.0.250424201103_119471-auto
qnn-net-run version, v2.34.0.250424201103_119471-auto
Backend version, v2.34.0.250424201103_119471-auto
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
55831093229,INIT,275005,US,NETRUN,ROOT,null
55831093229,INIT,251451,US,BACKEND,ROOT,RPC (load binary) time
55831093229,INIT,198111,US,BACKEND,ROOT,QNN accelerator (load binary) time
55831093229,INIT,113125,US,BACKEND,ROOT,Accelerator (load binary) time
55831093229,INIT,83733,US,BACKEND,ROOT,Accelerator (load binary) time
55831093229,INIT,274855,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
55832267528,DE-INIT,171451,US,NETRUN,ROOT,null
55832267528,DE-INIT,132577,US,BACKEND,ROOT,RPC (deinit) time
55832267528,DE-INIT,130877,US,BACKEND,ROOT,QNN Accelerator (deinit) time
55832267528,DE-INIT,688,US,BACKEND,ROOT,Accelerator (deinit) time
55832267528,DE-INIT,130050,US,BACKEND,ROOT,Accelerator (deinit) time
55832267528,DE-INIT,171347,US,BACKEND,ROOT,QNN (deinit) time
55832080435,EXECUTE,935102,US,NETRUN,ROOT,Graph 0: ar1_cl4096_2_of_2
55832080435,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
55832080435,EXECUTE,919336,US,BACKEND,ROOT,RPC (execute) time
55832080435,EXECUTE,918224,US,BACKEND,ROOT,QNN accelerator (execute) time
55832080435,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
55832080435,EXECUTE,1966,US,BACKEND,ROOT,Time for initial VTCM acquire
55832080435,EXECUTE,28644,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
55832080435,EXECUTE,41338777,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
55832080435,EXECUTE,2333,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
55832080435,EXECUTE,31849,CYCLES,BACKEND,SUB-EVENT,model_layers_0_self_attn_Mul_10:OpId_22121 (cycles)
55832080435,EXECUTE,33040,CYCLES,BACKEND,SUB-EVENT,Slice_112:OpId_22124 (cycles)
55832080435,EXECUTE,630,CYCLES,BACKEND,SUB-EVENT,Slice_113:OpId_22130 (cycles)
55832080435,EXECUTE,32587,CYCLES,BACKEND,SUB-EVENT,Slice_114:OpId_22136 (cycles)
55832080435,EXECUTE,460,CYCLES,BACKEND,SUB-EVENT,Slice_115:OpId_22142 (cycles)
55832080435,EXECUTE,33697,CYCLES,BACKEND,SUB-EVENT,Slice_148:OpId_22148 (cycles)
55832080435,EXECUTE,1257,CYCLES,BACKEND,SUB-EVENT,Slice_149:OpId_22154 (cycles)
55832080435,EXECUTE,35413,CYCLES,BACKEND,SUB-EVENT,Slice_150:OpId_22160 (cycles)
55832080435,EXECUTE,429,CYCLES,BACKEND,SUB-EVENT,Slice_151:OpId_22166 (cycles)
55832080435,EXECUTE,32665,CYCLES,BACKEND,SUB-EVENT,Slice_184:OpId_22172 (cycles)
55832080435,EXECUTE,666,CYCLES,BACKEND,SUB-EVENT,Slice_185:OpId_22178 (cycles)
55832080435,EXECUTE,32371,CYCLES,BACKEND,SUB-EVENT,Slice_186:OpId_22184 (cycles)
55832080435,EXECUTE,266,CYCLES,BACKEND,SUB-EVENT,Slice_187:OpId_22190 (cycles)
55832080435,EXECUTE,30965,CYCLES,BACKEND,SUB-EVENT,Slice_220:OpId_22196 (cycles)
55832080435,EXECUTE,637,CYCLES,BACKEND,SUB-EVENT,Slice_221:OpId_22202 (cycles)
55832080435,EXECUTE,31835,CYCLES,BACKEND,SUB-EVENT,Slice_222:OpId_22208 (cycles)
55832080435,EXECUTE,354,CYCLES,BACKEND,SUB-EVENT,Slice_223:OpId_22214 (cycles)
