input log file location, /data/local/tmp/genie_qwen25_qnn_htp_profile/qnn_profile/optrace/decode/part1/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.34.0.250424201103_119471-auto
qnn-net-run version, v2.34.0.250424201103_119471-auto
Backend version, v2.34.0.250424201103_119471-auto
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
55839709547,INIT,62529,US,NETRUN,ROOT,null
55839709547,INIT,30784,US,BACKEND,ROOT,RPC (load binary) time
55839709547,INIT,30252,US,BACKEND,ROOT,QNN accelerator (load binary) time
55839709547,INIT,21159,US,BACKEND,ROOT,Accelerator (load binary) time
55839709547,INIT,8517,US,BACKEND,ROOT,Accelerator (load binary) time
55839709547,INIT,62439,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
55839787640,DE-INIT,37277,US,NETRUN,ROOT,null
55839787640,DE-INIT,4684,US,BACKEND,ROOT,RPC (deinit) time
55839787640,DE-INIT,3621,US,BACKEND,ROOT,QNN Accelerator (deinit) time
55839787640,DE-INIT,519,US,BACKEND,ROOT,Accelerator (deinit) time
55839787640,DE-INIT,3046,US,BACKEND,ROOT,Accelerator (deinit) time
55839787640,DE-INIT,36837,US,BACKEND,ROOT,QNN (deinit) time
55839747875,EXECUTE,17993,US,NETRUN,ROOT,Graph 0: ar1_cl4096_1_of_2
55839747875,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
55839747875,EXECUTE,13247,US,BACKEND,ROOT,RPC (execute) time
55839747875,EXECUTE,3500,US,BACKEND,ROOT,QNN accelerator (execute) time
55839747875,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
55839747875,EXECUTE,2031,US,BACKEND,ROOT,Time for initial VTCM acquire
55839747875,EXECUTE,27392,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
55839747875,EXECUTE,11597,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
55839747875,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
55839747875,EXECUTE,8157,CYCLES,BACKEND,SUB-EVENT,model_embed_tokens_Gather:OpId_21 (cycles)
55839747875,EXECUTE,3440,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
55839747875,EXECUTE,3017,US,BACKEND,ROOT,Accelerator (execute) time
55839747875,EXECUTE,366,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
55839747875,EXECUTE,17858,US,BACKEND,ROOT,QNN (execute) time
55839749569,EXECUTE IPS,54.764511,INF/SEC,NETRUN,ROOT,null
