input log file location, /data/local/tmp/genie_qwen25_quality/qnn_profile/optrace/prefill/part1/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.34.0.250424201103_119471-auto
qnn-net-run version, v2.34.0.250424201103_119471-auto
Backend version, v2.34.0.250424201103_119471-auto
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
106237293277,INIT,91397,US,NETRUN,ROOT,null
106237293277,INIT,22823,US,BACKEND,ROOT,RPC (load binary) time
106237293277,INIT,21975,US,BACKEND,ROOT,QNN accelerator (load binary) time
106237293277,INIT,13162,US,BACKEND,ROOT,Accelerator (load binary) time
106237293277,INIT,8343,US,BACKEND,ROOT,Accelerator (load binary) time
106237293277,INIT,91353,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
106237382940,DE-INIT,30226,US,NETRUN,ROOT,null
106237382940,DE-INIT,4048,US,BACKEND,ROOT,RPC (deinit) time
106237382940,DE-INIT,3252,US,BACKEND,ROOT,QNN Accelerator (deinit) time
106237382940,DE-INIT,366,US,BACKEND,ROOT,Accelerator (deinit) time
106237382940,DE-INIT,2842,US,BACKEND,ROOT,Accelerator (deinit) time
106237382940,DE-INIT,30138,US,BACKEND,ROOT,QNN (deinit) time
106237343291,EXECUTE,16633,US,NETRUN,ROOT,Graph 0: ar128_cl4096_1_of_2
106237343291,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
106237343291,EXECUTE,12892,US,BACKEND,ROOT,RPC (execute) time
106237343291,EXECUTE,3280,US,BACKEND,ROOT,QNN accelerator (execute) time
106237343291,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
106237343291,EXECUTE,1862,US,BACKEND,ROOT,Time for initial VTCM acquire
106237343291,EXECUTE,26272,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
106237343291,EXECUTE,40641,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
106237343291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
106237343291,EXECUTE,32866,CYCLES,BACKEND,SUB-EVENT,model_embed_tokens_Gather:OpId_17 (cycles)
106237343291,EXECUTE,7775,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
106237343291,EXECUTE,2973,US,BACKEND,ROOT,Accelerator (execute) time
106237343291,EXECUTE,398,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
106237343291,EXECUTE,,OBJECT,BACKEND,ROOT,Unknown event type
106237343291,EXECUTE,16586,US,BACKEND,ROOT,QNN (execute) time
