input log file location, /data/local/tmp/qwen3_06b_profile/qnn_profile/optrace/decode/part2/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.48.40.260702151143
qnn-net-run version, v2.48.40.260702151143
Backend version, v2.48.40.260702151143
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
57350051496,INIT,836020,US,NETRUN,ROOT,null
57350051496,INIT,693957,US,BACKEND,ROOT,RPC (load binary) time
57350051496,INIT,691439,US,BACKEND,ROOT,QNN accelerator (load binary) time
57350051496,INIT,151920,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,152857,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,131862,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,76436,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,92093,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,83282,US,BACKEND,ROOT,Accelerator (load binary) time
57350051496,INIT,835851,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
57351993642,DE-INIT,436538,US,NETRUN,ROOT,null
57351993642,DE-INIT,300992,US,BACKEND,ROOT,RPC (deinit) time
57351993642,DE-INIT,299567,US,BACKEND,ROOT,QNN Accelerator (deinit) time
57351993642,DE-INIT,750,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,3031,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,3159,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,2984,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,286207,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,3218,US,BACKEND,ROOT,Accelerator (deinit) time
57351993642,DE-INIT,436432,US,BACKEND,ROOT,QNN (deinit) time
57351534853,EXECUTE,1390880,US,NETRUN,ROOT,Graph 0: token_ar1_cl512_2_of_2
57351534853,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
57351534853,EXECUTE,1365860,US,BACKEND,ROOT,RPC (execute) time
57351534853,EXECUTE,1354383,US,BACKEND,ROOT,QNN accelerator (execute) time
57351534853,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
57351534853,EXECUTE,2902,US,BACKEND,ROOT,Time for initial VTCM acquire
57351534853,EXECUTE,29113,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
57351534853,EXECUTE,40793215,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
57351534853,EXECUTE,9631,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
57351534853,EXECUTE,30002,CYCLES,BACKEND,SUB-EVENT,/Slice:OpId_201276 (cycles)
57351534853,EXECUTE,17305,CYCLES,BACKEND,SUB-EVENT,/Slice_1:OpId_201282 (cycles)
57351534853,EXECUTE,17242,CYCLES,BACKEND,SUB-EVENT,/Slice_2:OpId_201288 (cycles)
57351534853,EXECUTE,18657,CYCLES,BACKEND,SUB-EVENT,/Slice_3:OpId_201294 (cycles)
57351534853,EXECUTE,18151,CYCLES,BACKEND,SUB-EVENT,/Slice_4:OpId_201300 (cycles)
57351534853,EXECUTE,18859,CYCLES,BACKEND,SUB-EVENT,/Slice_5:OpId_201306 (cycles)
57351534853,EXECUTE,5550,CYCLES,BACKEND,SUB-EVENT,/Slice_6:OpId_201312 (cycles)
57351534853,EXECUTE,18703,CYCLES,BACKEND,SUB-EVENT,/Slice_7:OpId_201318 (cycles)
57351534853,EXECUTE,15164,CYCLES,BACKEND,SUB-EVENT,/Slice_8:OpId_201324 (cycles)
57351534853,EXECUTE,13355,CYCLES,BACKEND,SUB-EVENT,/Slice_9:OpId_201330 (cycles)
57351534853,EXECUTE,13081,CYCLES,BACKEND,SUB-EVENT,/Slice_10:OpId_201336 (cycles)
57351534853,EXECUTE,13157,CYCLES,BACKEND,SUB-EVENT,/Slice_11:OpId_201342 (cycles)
57351534853,EXECUTE,14742,CYCLES,BACKEND,SUB-EVENT,/Slice_12:OpId_201348 (cycles)
57351534853,EXECUTE,13959,CYCLES,BACKEND,SUB-EVENT,/Slice_13:OpId_201354 (cycles)
57351534853,EXECUTE,987,CYCLES,BACKEND,SUB-EVENT,/Slice_14:OpId_201360 (cycles)
57351534853,EXECUTE,13193,CYCLES,BACKEND,SUB-EVENT,/Slice_15:OpId_201366 (cycles)
57351534853,EXECUTE,19066,CYCLES,BACKEND,SUB-EVENT,/Slice_16:OpId_201372 (cycles)
