input log file location, /data/local/tmp/qwen3_06b_htp/qnn_profile/detailed/prefill/part1/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.46.0.260424121129
qnn-net-run version, v2.46.0.260424121129
Backend version, v2.46.0.260424121129
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
164846824821,INIT,271225,US,NETRUN,ROOT,null
164846824821,INIT,227315,US,BACKEND,ROOT,RPC (load binary) time
164846824821,INIT,224541,US,BACKEND,ROOT,QNN accelerator (load binary) time
164846824821,INIT,39866,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,35493,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,35561,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,38941,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,36026,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,35454,US,BACKEND,ROOT,Accelerator (load binary) time
164846824821,INIT,271155,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
164846925836,DE-INIT,67556,US,NETRUN,ROOT,null
164846925836,DE-INIT,21816,US,BACKEND,ROOT,RPC (deinit) time
164846925836,DE-INIT,20614,US,BACKEND,ROOT,QNN Accelerator (deinit) time
164846925836,DE-INIT,560,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,3973,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,3854,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,3866,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,3807,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,4450,US,BACKEND,ROOT,Accelerator (deinit) time
164846925836,DE-INIT,67466,US,BACKEND,ROOT,QNN (deinit) time
164846851667,EXECUTE,5645,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_1_of_2
164846851667,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
164846851667,EXECUTE,5315,US,BACKEND,ROOT,RPC (execute) time
164846851667,EXECUTE,4496,US,BACKEND,ROOT,QNN accelerator (execute) time
164846851667,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
164846851667,EXECUTE,15578,US,BACKEND,ROOT,Time for initial VTCM acquire
164846851667,EXECUTE,20342,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
164846851667,EXECUTE,26080,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
164846851667,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
164846851667,EXECUTE,21659,CYCLES,BACKEND,SUB-EVENT,/model/model/embed_tokens/Gather:OpId_21 (cycles)
164846851667,EXECUTE,4421,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
164846851667,EXECUTE,4023,US,BACKEND,ROOT,Accelerator (execute) time
164846851667,EXECUTE,621,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
164846851667,EXECUTE,5578,US,BACKEND,ROOT,QNN (execute) time
164846857904,EXECUTE IPS,169.520264,INF/SEC,NETRUN,ROOT,null
