input log file location, /data/local/tmp/genie_qwen25_quality/qnn_profile/optrace/decode/part1/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.34.0.250424201103_119471-auto
qnn-net-run version, v2.34.0.250424201103_119471-auto
Backend version, v2.34.0.250424201103_119471-auto
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
106263200643,INIT,96192,US,NETRUN,ROOT,null
106263200643,INIT,28411,US,BACKEND,ROOT,RPC (load binary) time
106263200643,INIT,27365,US,BACKEND,ROOT,QNN accelerator (load binary) time
106263200643,INIT,18555,US,BACKEND,ROOT,Accelerator (load binary) time
106263200643,INIT,8340,US,BACKEND,ROOT,Accelerator (load binary) time
106263200643,INIT,96125,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
106263290138,DE-INIT,32146,US,NETRUN,ROOT,null
106263290138,DE-INIT,4247,US,BACKEND,ROOT,RPC (deinit) time
106263290138,DE-INIT,3376,US,BACKEND,ROOT,QNN Accelerator (deinit) time
106263290138,DE-INIT,385,US,BACKEND,ROOT,Accelerator (deinit) time
106263290138,DE-INIT,2948,US,BACKEND,ROOT,Accelerator (deinit) time
106263290138,DE-INIT,32031,US,BACKEND,ROOT,QNN (deinit) time
106263254774,EXECUTE,16519,US,NETRUN,ROOT,Graph 0: ar1_cl4096_1_of_2
106263254774,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
106263254774,EXECUTE,12845,US,BACKEND,ROOT,RPC (execute) time
106263254774,EXECUTE,3230,US,BACKEND,ROOT,QNN accelerator (execute) time
106263254774,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
106263254774,EXECUTE,1754,US,BACKEND,ROOT,Time for initial VTCM acquire
106263254774,EXECUTE,25623,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
106263254774,EXECUTE,5572,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
106263254774,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
106263254774,EXECUTE,3965,CYCLES,BACKEND,SUB-EVENT,model_embed_tokens_Gather:OpId_21 (cycles)
106263254774,EXECUTE,1607,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
106263254774,EXECUTE,2880,US,BACKEND,ROOT,Accelerator (execute) time
106263254774,EXECUTE,330,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
106263254774,EXECUTE,,OBJECT,BACKEND,ROOT,Unknown event type
106263254774,EXECUTE,16479,US,BACKEND,ROOT,QNN (execute) time
