input log file location, /data/local/tmp/genie_qwen25_quality/qnn_profile/optrace/prefill/part2/output/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.34.0.250424201103_119471-auto
qnn-net-run version, v2.34.0.250424201103_119471-auto
Backend version, v2.34.0.250424201103_119471-auto
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
106259606801,INIT,284610,US,NETRUN,ROOT,null
106259606801,INIT,204567,US,BACKEND,ROOT,RPC (load binary) time
106259606801,INIT,158605,US,BACKEND,ROOT,QNN accelerator (load binary) time
106259606801,INIT,95898,US,BACKEND,ROOT,Accelerator (load binary) time
106259606801,INIT,61687,US,BACKEND,ROOT,Accelerator (load binary) time
106259606801,INIT,284544,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
106261636124,DE-INIT,195163,US,NETRUN,ROOT,null
106261636124,DE-INIT,158451,US,BACKEND,ROOT,RPC (deinit) time
106261636124,DE-INIT,157102,US,BACKEND,ROOT,QNN Accelerator (deinit) time
106261636124,DE-INIT,154050,US,BACKEND,ROOT,Accelerator (deinit) time
106261636124,DE-INIT,2957,US,BACKEND,ROOT,Accelerator (deinit) time
106261636124,DE-INIT,195065,US,BACKEND,ROOT,QNN (deinit) time
106260775453,EXECUTE,1018468,US,NETRUN,ROOT,Graph 0: ar128_cl4096_2_of_2
106260775453,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
106260775453,EXECUTE,933571,US,BACKEND,ROOT,RPC (execute) time
106260775453,EXECUTE,923677,US,BACKEND,ROOT,QNN accelerator (execute) time
106260775453,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
106260775453,EXECUTE,1969,US,BACKEND,ROOT,Time for initial VTCM acquire
106260775453,EXECUTE,27224,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
106260775453,EXECUTE,153878355,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
106260775453,EXECUTE,1604,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
106260775453,EXECUTE,94798,CYCLES,BACKEND,SUB-EVENT,model_layers_0_self_attn_Mul_10:OpId_17 (cycles)
106260775453,EXECUTE,23644,CYCLES,BACKEND,SUB-EVENT,Slice_112:OpId_20 (cycles)
106260775453,EXECUTE,1413,CYCLES,BACKEND,SUB-EVENT,Slice_113:OpId_26 (cycles)
106260775453,EXECUTE,33994,CYCLES,BACKEND,SUB-EVENT,Slice_114:OpId_32 (cycles)
106260775453,EXECUTE,247,CYCLES,BACKEND,SUB-EVENT,Slice_115:OpId_38 (cycles)
106260775453,EXECUTE,21912,CYCLES,BACKEND,SUB-EVENT,Slice_148:OpId_44 (cycles)
106260775453,EXECUTE,518,CYCLES,BACKEND,SUB-EVENT,Slice_149:OpId_50 (cycles)
106260775453,EXECUTE,27726,CYCLES,BACKEND,SUB-EVENT,Slice_150:OpId_56 (cycles)
106260775453,EXECUTE,263,CYCLES,BACKEND,SUB-EVENT,Slice_151:OpId_62 (cycles)
106260775453,EXECUTE,22440,CYCLES,BACKEND,SUB-EVENT,Slice_184:OpId_68 (cycles)
106260775453,EXECUTE,530,CYCLES,BACKEND,SUB-EVENT,Slice_185:OpId_74 (cycles)
106260775453,EXECUTE,28654,CYCLES,BACKEND,SUB-EVENT,Slice_186:OpId_80 (cycles)
106260775453,EXECUTE,249,CYCLES,BACKEND,SUB-EVENT,Slice_187:OpId_86 (cycles)
106260775453,EXECUTE,22431,CYCLES,BACKEND,SUB-EVENT,Slice_220:OpId_92 (cycles)
106260775453,EXECUTE,974,CYCLES,BACKEND,SUB-EVENT,Slice_221:OpId_98 (cycles)
106260775453,EXECUTE,23116,CYCLES,BACKEND,SUB-EVENT,Slice_222:OpId_104 (cycles)
106260775453,EXECUTE,5333,CYCLES,BACKEND,SUB-EVENT,Slice_223:OpId_110 (cycles)
106260775453,EXECUTE,23787,CYCLES,BACKEND,SUB-EVENT,Slice_256:OpId_116 (cycles)
106260775453,EXECUTE,505,CYCLES,BACKEND,SUB-EVENT,Slice_257:OpId_122 (cycles)
106260775453,EXECUTE,23400,CYCLES,BACKEND,SUB-EVENT,Slice_258:OpId_128 (cycles)
106260775453,EXECUTE,280,CYCLES,BACKEND,SUB-EVENT,Slice_259:OpId_134 (cycles)
106260775453,EXECUTE,21848,CYCLES,BACKEND,SUB-EVENT,Slice_292:OpId_140 (cycles)
106260775453,EXECUTE,487,CYCLES,BACKEND,SUB-EVENT,Slice_293:OpId_146 (cycles)
106260775453,EXECUTE,28402,CYCLES,BACKEND,SUB-EVENT,Slice_294:OpId_152 (cycles)
106260775453,EXECUTE,297,CYCLES,BACKEND,SUB-EVENT,Slice_295:OpId_158 (cycles)
106260775453,EXECUTE,19848,CYCLES,BACKEND,SUB-EVENT,Slice_328:OpId_164 (cycles)
106260775453,EXECUTE,922,CYCLES,BACKEND,SUB-EVENT,Slice_329:OpId_170 (cycles)
106260775453,EXECUTE,24343,CYCLES,BACKEND,SUB-EVENT,Slice_330:OpId_176 (cycles)
